Area Identifier,Area Name,Births: Gender = All; Reference Period = 2010; Time Period = Calendar Year; measure type = Count,New Build Housing Starts and Completions: Build Type = Completions; Housing Sector = All; Reference Period = 2010-Q4; measure type = Count
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,2599,99
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,2727,394
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,1096,95
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,763,170
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,5552,299
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,620,5
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,1445,84
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,1745,132
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,1334,267
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,924,97
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,1123,153
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,872,69
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,1874,82
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,4172,210
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,7565,716
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,2467,240
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,791,65
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,994,58
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,928,267
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,235,30
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,1450,145
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,3929,72
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,197,35
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,1466,85
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,1995,32
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,1161,149
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,266,19
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,1035,23
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,3418,199
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,836,97
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,1044,25
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,2168,173
