Area Identifier,Area Name,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2004; measure type = Count,Scottish Drug Misuse Database: Age = All; Drug = Cannabis; Gender = All; Reference Period = 2004; measure type = Count
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,29400,262
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,25700,161
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,8600,55
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,7500,58
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,97100,617
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,3000,21
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,9200,51
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,14400,127
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,6800,72
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,17200,31
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,9400,112
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,13400,19
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,11300,45
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,27500,405
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,71400,679
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,16300,120
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,6000,78
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,6200,102
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,5100,39
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,1800,3
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,8800,149
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,20200,87
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,1700,14
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,14900,29
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,13500,70
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,10200,88
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,1700,23
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,10200,65
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,26300,113
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,12100,44
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,4600,128
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,12000,217
